2026-04-23 14:35:32 [INFO] Loaded 611 raw traces
2026-04-23 14:35:36 [INFO] [trace_77] Error class: syntax_error
2026-04-23 14:35:36 [INFO] [trace_78] Quality score: 0.65
2026-04-23 14:35:36 [INFO] [trace_79] Quality score: 0.49
2026-04-23 14:35:36 [INFO] [trace_80] Quality score: 0.76
2026-04-23 14:35:36 [INFO] [trace_80] Error class: timeout_stall
2026-04-23 14:35:36 [INFO] [trace_81] Quality score: 0.60
2026-04-23 14:35:36 [INFO] [trace_82] Quality score: 0.71
2026-04-23 14:35:36 [INFO] [trace_82] Error class: syntax_error
2026-04-23 14:35:36 [INFO] [trace_83] Quality score: 0.70
2026-04-23 14:35:36 [INFO] [trace_83] Error class: syntax_error
2026-04-23 14:35:36 [INFO] [trace_84] Quality score: 0.73
2026-04-23 14:35:36 [INFO] [trace_84] Error class: reasoning_error
2026-04-23 14:35:36 [INFO] [trace_85] Quality score: 0.71
2026-04-23 14:35:36 [INFO] [trace_86] Quality score: 0.70
2026-04-23 14:35:36 [INFO] [trace_86] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_87] Quality score: 0.71
2026-04-23 14:35:37 [INFO] [trace_87] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_88] Quality score: 0.71
2026-04-23 14:35:37 [INFO] [trace_88] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_89] Quality score: 0.71
2026-04-23 14:35:37 [INFO] [trace_89] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_90] Quality score: 0.72
2026-04-23 14:35:37 [INFO] [trace_90] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_91] Quality score: 0.71
2026-04-23 14:35:37 [INFO] [trace_92] Quality score: 0.66
2026-04-23 14:35:37 [INFO] [trace_92] Error class: syntax_error
2026-04-23 14:35:37 [INFO] [trace_93] Quality score: 0.77
2026-04-23 14:35:37 [INFO] [trace_93] Error class: reasoning_error
2026-04-23 14:35:37 [INFO] [trace_94] Quality score: 0.41
2026-04-23 14:35:38 [INFO] [trace_95] Quality score: 0.43
2026-04-23 14:35:38 [INFO] [trace_96] Quality score: 0.71
2026-04-23 14:35:38 [INFO] [trace_96] Error class: syntax_error
2026-04-23 14:35:38 [INFO] [trace_97] Quality score: 0.70
2026-04-23 14:35:38 [INFO] [trace_97] Error class: syntax_error
2026-04-23 14:35:38 [INFO] [trace_98] Quality score: 0.57
2026-04-23 14:35:38 [INFO] [trace_99] Quality score: 0.65
2026-04-23 14:35:38 [INFO] [trace_100] Quality score: 0.78
2026-04-23 14:35:38 [INFO] [trace_100] Error class: syntax_error
2026-04-23 14:35:38 [INFO] [trace_101] Quality score: 0.71
2026-04-23 14:35:38 [INFO] [trace_102] Quality score: 0.72
2026-04-23 14:35:38 [INFO] [trace_102] Error class: syntax_error
2026-04-23 14:35:38 [INFO] [trace_103] Quality score: 0.70
2026-04-23 14:35:38 [INFO] [trace_103] Error class: syntax_error
2026-04-23 14:35:38 [INFO] [trace_104] Quality score: 0.43
2026-04-23 14:35:39 [INFO] [trace_105] Quality score: 0.71
2026-04-23 14:35:39 [INFO] [trace_105] Error class: syntax_error
2026-04-23 14:35:39 [INFO] [trace_106] Quality score: 0.48
2026-04-23 14:35:39 [INFO] [trace_107] Quality score: 0.71
2026-04-23 14:35:39 [INFO] [trace_108] Quality score: 0.48
2026-04-23 14:35:39 [INFO] [trace_109] Quality score: 0.54
2026-04-23 14:35:39 [INFO] [trace_110] Quality score: 0.71
2026-04-23 14:35:39 [INFO] [trace_111] Quality score: 0.59
2026-04-23 14:35:39 [INFO] [trace_112] Quality score: 0.55
2026-04-23 14:35:39 [INFO] [trace_113] Quality score: 0.67
2026-04-23 14:35:39 [INFO] [trace_114] Quality score: 0.43
2026-04-23 14:35:39 [INFO] [trace_115] Quality score: 0.72
2026-04-23 14:35:39 [INFO] [trace_115] Error class: syntax_error
2026-04-23 14:35:39 [INFO] [trace_116] Quality score: 0.71
2026-04-23 14:35:39 [INFO] [trace_116] Error class: syntax_error
2026-04-23 14:35:40 [INFO] [trace_117] Quality score: 0.43
2026-04-23 14:35:40 [INFO] [trace_118] Quality score: 0.70
2026-04-23 14:35:40 [INFO] [trace_118] Error class: syntax_error
2026-04-23 14:35:40 [INFO] [trace_119] Quality score: 0.75
2026-04-23 14:35:40 [INFO] [trace_119] Error class: syntax_error
2026-04-23 14:35:40 [INFO] [trace_120] Quality score: 0.70
2026-04-23 14:35:40 [INFO] [trace_120] Error class: syntax_error
2026-04-23 14:35:40 [INFO] [trace_121] Quality score: 0.70
2026-04-23 14:35:40 [INFO] [trace_121] Error class: syntax_error
2026-04-23 14:35:40 [INFO] [trace_122] Quality score: 0.50
2026-04-23 14:35:40 [INFO] [trace_123] Quality score: 0.70
2026-04-23 14:35:40 [INFO] [trace_123] Error class: syntax_error
2026-04-23 14:35:41 [INFO] [trace_124] Quality score: 0.70
2026-04-23 14:35:41 [INFO] [trace_124] Error class: syntax_error
2026-04-23 14:35:41 [INFO] [trace_125] Quality score: 0.70
2026-04-23 14:35:41 [INFO] [trace_125] Error class: syntax_error
2026-04-23 14:35:41 [INFO] [trace_126] Quality score: 0.70
2026-04-23 14:35:41 [INFO] [trace_126] Error class: syntax_error
2026-04-23 14:35:41 [INFO] [trace_127] Quality score: 0.70
2026-04-23 14:35:41 [INFO] [trace_127] Error class: syntax_error
2026-04-23 14:35:41 [INFO] [trace_128] Quality score: 0.73
2026-04-23 14:35:41 [INFO] [trace_128] Error class: syntax_error
2026-04-23 14:35:42 [INFO] [trace_129] Quality score: 0.42
2026-04-23 14:35:42 [INFO] [trace_130] Quality score: 0.75
2026-04-23 14:35:42 [INFO] [trace_130] Error class: reasoning_error
2026-04-23 14:35:42 [INFO] [trace_131] Quality score: 0.51
2026-04-23 14:35:42 [INFO] [trace_132] Quality score: 0.41
2026-04-23 14:35:42 [INFO] [trace_133] Quality score: 0.45
2026-04-23 14:35:42 [INFO] [trace_134] Quality score: 0.51
2026-04-23 14:35:42 [INFO] [trace_135] Quality score: 0.41
2026-04-23 14:35:42 [INFO] [trace_136] Quality score: 0.44
2026-04-23 14:35:42 [INFO] [trace_137] Quality score: 0.43
2026-04-23 14:35:42 [INFO] [trace_138] Quality score: 0.68
2026-04-23 14:35:42 [INFO] [trace_138] Error class: timeout_stall
2026-04-23 14:35:42 [INFO] [trace_139] Quality score: 0.54
2026-04-23 14:35:42 [INFO] [trace_140] Quality score: 0.70
2026-04-23 14:35:42 [INFO] [trace_140] Error class: syntax_error
2026-04-23 14:35:43 [INFO] [trace_141] Quality score: 0.51
2026-04-23 14:35:43 [INFO] [trace_141] Error class: syntax_error
2026-04-23 14:35:43 [INFO] [trace_142] Quality score: 0.73
2026-04-23 14:35:43 [INFO] [trace_142] Error class: reasoning_error
2026-04-23 14:35:43 [INFO] [trace_143] Quality score: 0.78
2026-04-23 14:35:43 [INFO] [trace_143] Error class: reasoning_error
2026-04-23 14:35:43 [INFO] [trace_144] Quality score: 0.71
2026-04-23 14:35:43 [INFO] [trace_144] Error class: syntax_error
2026-04-23 14:35:43 [INFO] [trace_145] Quality score: 0.70
2026-04-23 14:35:43 [INFO] [trace_145] Error class: syntax_error
2026-04-23 14:35:43 [INFO] [trace_146] Quality score: 0.73
2026-04-23 14:35:43 [INFO] [trace_146] Error class: reasoning_error
2026-04-23 14:35:44 [INFO] [trace_147] Quality score: 0.77
2026-04-23 14:35:44 [INFO] [trace_148] Quality score: 0.72
2026-04-23 14:35:44 [INFO] [trace_149] Quality score: 0.77
2026-04-23 14:35:44 [INFO] [trace_150] Quality score: 0.70
2026-04-23 14:35:44 [INFO] [trace_150] Error class: syntax_error
2026-04-23 14:35:44 [INFO] [trace_151] Quality score: 0.47
2026-04-23 14:35:44 [INFO] [trace_152] Quality score: 0.50
2026-04-23 14:35:45 [INFO] [trace_153] Quality score: 0.70
2026-04-23 14:35:45 [INFO] [trace_153] Error class: syntax_error
2026-04-23 14:35:45 [INFO] [trace_154] Quality score: 0.71
2026-04-23 14:35:45 [INFO] [trace_154] Error class: syntax_error
2026-04-23 14:35:45 [INFO] [trace_155] Quality score: 0.71
2026-04-23 14:35:45 [INFO] [trace_156] Quality score: 0.70
2026-04-23 14:35:45 [INFO] [trace_156] Error class: syntax_error
2026-04-23 14:35:45 [INFO] [trace_157] Quality score: 0.63
2026-04-23 14:35:45 [INFO] [trace_158] Quality score: 0.71
2026-04-23 14:35:45 [INFO] [trace_158] Error class: syntax_error
2026-04-23 14:35:46 [INFO] [trace_159] Quality score: 0.68
2026-04-23 14:35:46 [INFO] [trace_160] Quality score: 0.61
2026-04-23 14:35:46 [INFO] [trace_161] Quality score: 0.77
2026-04-23 14:35:46 [INFO] [trace_161] Error class: reasoning_error
2026-04-23 14:35:46 [INFO] [trace_162] Quality score: 0.70
2026-04-23 14:35:46 [INFO] [trace_162] Error class: syntax_error
2026-04-23 14:35:46 [INFO] [trace_163] Quality score: 0.70
2026-04-23 14:35:46 [INFO] [trace_163] Error class: syntax_error
2026-04-23 14:35:46 [INFO] [trace_164] Quality score: 0.77
2026-04-23 14:35:46 [INFO] [trace_164] Error class: syntax_error
2026-04-23 14:35:47 [INFO] [trace_165] Quality score: 0.77
2026-04-23 14:35:47 [INFO] [trace_165] Error class: syntax_error
2026-04-23 14:35:47 [INFO] [trace_166] Quality score: 0.62
2026-04-23 14:35:47 [INFO] [trace_166] Error class: syntax_error
2026-04-23 14:35:47 [INFO] [trace_167] Quality score: 0.73
2026-04-23 14:35:47 [INFO] [trace_168] Quality score: 0.71
2026-04-23 14:35:47 [INFO] [trace_168] Error class: syntax_error
2026-04-23 14:35:47 [INFO] [trace_169] Quality score: 0.70
2026-04-23 14:35:48 [INFO] [trace_170] Quality score: 0.71
2026-04-23 14:35:48 [INFO] [trace_170] Error class: syntax_error
2026-04-23 14:35:48 [INFO] [trace_171] Quality score: 0.64
2026-04-23 14:35:48 [INFO] [trace_172] Quality score: 0.71
2026-04-23 14:35:48 [INFO] [trace_172] Error class: syntax_error
2026-04-23 14:35:48 [INFO] [trace_173] Quality score: 0.73
2026-04-23 14:35:48 [INFO] [trace_173] Error class: syntax_error
2026-04-23 14:35:49 [INFO] [trace_174] Quality score: 0.70
2026-04-23 14:35:49 [INFO] [trace_175] Quality score: 0.56
2026-04-23 14:35:49 [INFO] [trace_176] Quality score: 0.78
2026-04-23 14:35:49 [INFO] [trace_176] Error class: syntax_error
2026-04-23 14:35:49 [INFO] [trace_177] Quality score: 0.50
2026-04-23 14:35:49 [INFO] [trace_178] Quality score: 0.42
2026-04-23 14:35:49 [INFO] [trace_179] Quality score: 0.72
2026-04-23 14:35:49 [INFO] [trace_179] Error class: syntax_error
2026-04-23 14:35:50 [INFO] [trace_180] Quality score: 0.72
2026-04-23 14:35:50 [INFO] [trace_180] Error class: reasoning_error
2026-04-23 14:35:50 [INFO] [trace_181] Quality score: 0.72
2026-04-23 14:35:50 [INFO] [trace_181] Error class: reasoning_error
2026-04-23 14:35:50 [INFO] [trace_182] Quality score: 0.70
2026-04-23 14:35:50 [INFO] [trace_182] Error class: tool_failure
2026-04-23 14:35:51 [INFO] [trace_183] Quality score: 0.77
2026-04-23 14:35:51 [INFO] [trace_184] Quality score: 0.75
2026-04-23 14:35:51 [INFO] [trace_185] Quality score: 0.71
2026-04-23 14:35:51 [INFO] [trace_185] Error class: syntax_error
2026-04-23 14:35:51 [INFO] [trace_186] Quality score: 0.65
2026-04-23 14:35:51 [INFO] [trace_187] Quality score: 0.71
2026-04-23 14:35:52 [INFO] [trace_188] Quality score: 0.71
2026-04-23 14:35:52 [INFO] [trace_188] Error class: syntax_error
2026-04-23 14:35:52 [INFO] [trace_189] Quality score: 0.62
2026-04-23 14:35:52 [INFO] [trace_189] Error class: syntax_error
2026-04-23 14:35:52 [INFO] [trace_190] Quality score: 0.55
2026-04-23 14:35:52 [INFO] [trace_191] Quality score: 0.71
2026-04-23 14:35:52 [INFO] [trace_192] Quality score: 0.71
2026-04-23 14:35:52 [INFO] [trace_192] Error class: syntax_error
2026-04-23 14:35:53 [INFO] [trace_193] Quality score: 0.70
2026-04-23 14:35:53 [INFO] [trace_194] Quality score: 0.71
2026-04-23 14:35:53 [INFO] [trace_194] Error class: syntax_error
2026-04-23 14:35:53 [INFO] [trace_195] Quality score: 0.70
2026-04-23 14:35:53 [INFO] [trace_196] Quality score: 0.76
2026-04-23 14:35:53 [INFO] [trace_196] Error class: reasoning_error
2026-04-23 14:35:53 [INFO] [trace_197] Quality score: 0.49
2026-04-23 14:35:54 [INFO] [trace_198] Quality score: 0.46
2026-04-23 14:35:54 [INFO] [trace_199] Quality score: 0.51
2026-04-23 14:35:54 [INFO] [trace_200] Quality score: 0.70
2026-04-23 14:35:54 [INFO] [trace_201] Quality score: 0.71
2026-04-23 14:35:54 [INFO] [trace_201] Error class: syntax_error
2026-04-23 14:35:54 [INFO] [trace_202] Quality score: 0.71
2026-04-23 14:35:54 [INFO] [trace_202] Error class: syntax_error
2026-04-23 14:35:54 [INFO] [trace_203] Quality score: 0.71
2026-04-23 14:35:54 [INFO] [trace_203] Error class: reasoning_error
2026-04-23 14:35:55 [INFO] [trace_204] Quality score: 0.71
2026-04-23 14:35:55 [INFO] [trace_204] Error class: syntax_error
2026-04-23 14:35:55 [INFO] [trace_205] Quality score: 0.70
2026-04-23 14:35:55 [INFO] [trace_205] Error class: syntax_error
2026-04-23 14:35:55 [INFO] [trace_206] Quality score: 0.73
2026-04-23 14:35:55 [INFO] [trace_207] Quality score: 0.71
2026-04-23 14:35:55 [INFO] [trace_207] Error class: syntax_error
2026-04-23 14:35:56 [INFO] [trace_208] Quality score: 0.70
2026-04-23 14:35:56 [INFO] [trace_208] Error class: syntax_error
2026-04-23 14:35:56 [INFO] [trace_209] Quality score: 0.72
2026-04-23 14:35:56 [INFO] [trace_210] Quality score: 0.77
2026-04-23 14:35:56 [INFO] [trace_211] Quality score: 0.71
2026-04-23 14:35:56 [INFO] [trace_211] Error class: syntax_error
2026-04-23 14:35:57 [INFO] [trace_212] Quality score: 0.71
2026-04-23 14:35:57 [INFO] [trace_212] Error class: syntax_error
2026-04-23 14:35:57 [INFO] [trace_213] Quality score: 0.71
2026-04-23 14:35:57 [INFO] [trace_213] Error class: syntax_error
2026-04-23 14:35:57 [INFO] [trace_214] Quality score: 0.48
2026-04-23 14:35:57 [INFO] [trace_215] Quality score: 0.44
2026-04-23 14:35:57 [INFO] [trace_216] Quality score: 0.71
2026-04-23 14:35:57 [INFO] [trace_216] Error class: syntax_error
2026-04-23 14:35:58 [INFO] [trace_217] Quality score: 0.78
2026-04-23 14:35:58 [INFO] [trace_217] Error class: syntax_error
2026-04-23 14:35:58 [INFO] [trace_218] Quality score: 0.71
2026-04-23 14:35:58 [INFO] [trace_218] Error class: syntax_error
2026-04-23 14:35:58 [INFO] [trace_219] Quality score: 0.51
2026-04-23 14:35:58 [INFO] [trace_220] Quality score: 0.71
2026-04-23 14:35:58 [INFO] [trace_220] Error class: syntax_error
2026-04-23 14:35:59 [INFO] [trace_221] Quality score: 0.48
2026-04-23 14:35:59 [INFO] [trace_222] Quality score: 0.77
2026-04-23 14:35:59 [INFO] [trace_222] Error class: syntax_error
2026-04-23 14:35:59 [INFO] [trace_223] Quality score: 0.57
2026-04-23 14:35:59 [INFO] [trace_223] Error class: reasoning_error
2026-04-23 14:35:59 [INFO] [trace_224] Quality score: 0.72
2026-04-23 14:35:59 [INFO] [trace_224] Error class: reasoning_error
2026-04-23 14:35:59 [INFO] [trace_225] Quality score: 0.72
2026-04-23 14:35:59 [INFO] [trace_225] Error class: syntax_error
2026-04-23 14:36:00 [INFO] [trace_226] Quality score: 0.70
2026-04-23 14:36:00 [INFO] [trace_226] Error class: syntax_error
2026-04-23 14:36:00 [INFO] [trace_227] Quality score: 0.81
2026-04-23 14:36:00 [INFO] [trace_228] Quality score: 0.78
2026-04-23 14:36:00 [INFO] [trace_229] Quality score: 0.74
2026-04-23 14:36:01 [INFO] [trace_230] Quality score: 0.71
2026-04-23 14:36:01 [INFO] [trace_230] Error class: syntax_error
2026-04-23 14:36:01 [INFO] [trace_231] Quality score: 0.71
2026-04-23 14:36:01 [INFO] [trace_232] Quality score: 0.41
2026-04-23 14:36:01 [INFO] [trace_233] Quality score: 0.46
2026-04-23 14:36:01 [INFO] [trace_234] Quality score: 0.42
2026-04-23 14:36:01 [INFO] [trace_235] Quality score: 0.71
2026-04-23 14:36:01 [INFO] [trace_235] Error class: syntax_error
2026-04-23 14:36:02 [INFO] [trace_236] Quality score: 0.45
2026-04-23 14:36:02 [INFO] [trace_237] Quality score: 0.70
2026-04-23 14:36:02 [INFO] [trace_237] Error class: syntax_error
2026-04-23 14:36:02 [INFO] [trace_238] Quality score: 0.73
2026-04-23 14:36:02 [INFO] [trace_238] Error class: syntax_error
2026-04-23 14:36:02 [INFO] [trace_239] Quality score: 0.72
2026-04-23 14:36:02 [INFO] [trace_239] Error class: reasoning_error
2026-04-23 14:36:03 [INFO] [trace_240] Quality score: 0.76
2026-04-23 14:36:03 [INFO] [trace_240] Error class: timeout_stall
2026-04-23 14:36:03 [INFO] [trace_241] Quality score: 0.49
2026-04-23 14:36:03 [INFO] [trace_242] Quality score: 0.60
2026-04-23 14:36:03 [INFO] [trace_243] Quality score: 0.70
2026-04-23 14:36:03 [INFO] [trace_243] Error class: syntax_error
2026-04-23 14:36:04 [INFO] [trace_244] Quality score: 0.44
2026-04-23 14:36:04 [INFO] [trace_245] Quality score: 0.70
2026-04-23 14:36:04 [INFO] [trace_245] Error class: syntax_error
2026-04-23 14:36:04 [INFO] [trace_246] Quality score: 0.72
2026-04-23 14:36:04 [INFO] [trace_247] Quality score: 0.72
2026-04-23 14:36:04 [INFO] [trace_247] Error class: syntax_error
2026-04-23 14:36:05 [INFO] [trace_248] Quality score: 0.71
2026-04-23 14:36:05 [INFO] [trace_248] Error class: timeout_stall
2026-04-23 14:36:05 [INFO] [trace_249] Quality score: 0.43
2026-04-23 14:36:05 [INFO] [trace_250] Quality score: 0.76
2026-04-23 14:36:05 [INFO] [trace_251] Quality score: 0.42
2026-04-23 14:36:06 [INFO] [trace_252] Quality score: 0.69
2026-04-23 14:36:06 [INFO] [trace_252] Error class: timeout_stall
2026-04-23 14:36:06 [INFO] [trace_253] Quality score: 0.72
2026-04-23 14:36:06 [INFO] [trace_253] Error class: timeout_stall
2026-04-23 14:36:06 [INFO] [trace_254] Quality score: 0.77
2026-04-23 14:36:06 [INFO] [trace_254] Error class: reasoning_error
2026-04-23 14:36:06 [INFO] [trace_255] Quality score: 0.71
2026-04-23 14:36:06 [INFO] [trace_255] Error class: reasoning_error
2026-04-23 14:36:07 [INFO] [trace_256] Quality score: 0.72
2026-04-23 14:36:07 [INFO] [trace_256] Error class: syntax_error
2026-04-23 14:36:07 [INFO] [trace_257] Quality score: 0.71
2026-04-23 14:36:07 [INFO] [trace_257] Error class: syntax_error
2026-04-23 14:36:08 [INFO] [trace_258] Quality score: 0.55
2026-04-23 14:36:08 [INFO] [trace_259] Quality score: 0.71
2026-04-23 14:36:08 [INFO] [trace_260] Quality score: 0.70
2026-04-23 14:36:08 [INFO] [trace_260] Error class: syntax_error
2026-04-23 14:36:08 [INFO] [trace_261] Quality score: 0.72
2026-04-23 14:36:08 [INFO] [trace_261] Error class: syntax_error
2026-04-23 14:36:09 [INFO] [trace_262] Quality score: 0.76
2026-04-23 14:36:09 [INFO] [trace_263] Quality score: 0.71
2026-04-23 14:36:09 [INFO] [trace_263] Error class: syntax_error
